"English","العربية"
"Supported Features","الميزات المدعومة"
"Supported formats: Images, Documents, Archives","الصيغ المدعومة: الصور، المستندات، الأرشيفات"
"This will completely block the tenant&#039;s access.","سيؤدي هذا إلى حظر وصول المستأجر تماماً."
"Suspended","معلّق"
"Swift Code","كود Swift"
"Symbol","الرمز"
"Failed to sync languages","فشلت مزامنة اللغات"
"Sync Languages","مزامنة اللغات"
"Sync with Stripe","المزامنة مع Stripe"
"Syncing","جاري المزامنة"
"System","النظام"
"System","النظام"
"System Core Settings","إعدادات النظام الأساسية"
"Configure fundamental system-wide parameters and default behaviors that impact overall application performance and user experience. ","تكوين المعاملات الأساسية على مستوى النظام والسلوكيات الافتراضية التي تؤثر على أداء التطبيق الإجمالي وتجربة المستخدم."
"System Details and Diagnostics","System Details و Diagnostics"
"System Information","معلومات النظام"
"System Logs","سجلات النظام"
"System Settings","إعدادات النظام"
"System Statistics","إحصائيات النظام"
"System Tools","أدوات النظام"
"System Update","تحديث النظام"
"Table Configuration","تكوين الجدول"
"Tables Pagination Limit","حد ترقيم صفحات الجداول"
"Tax","الضريبة"
"Tax added successfully","تم إضافة الضريبة بنجاح"
"Failed to delete tax","فشل حذف الضريبة"
"Tax deleted successfully","تم حذف الضريبة بنجاح"
"Tax Enabled","تم تفعيل الضريبة"
"Tax Id Vat Number","رقم الرقم الضريبي لضريبة القيمة المضافة"
"Tax","الضريبة"
"Tax Name","اسم الضريبة"
"Tax Rates","معدلات الضريبة"
"Failed to save tax","فشل حفظ الضريبة"
"Tax Settings","إعدادات الضريبة"
"Tax updated successfully","تم تحديث الضريبة بنجاح"
"Taxes","الضرائب"
"Team","الفريق"
"Team Limit","حد الفريق"
"Team Members","أعضاء الفريق"
"Template Bots","بوتات القوالب"
"Template Configuration","تكوين القالب"
"Template Information","معلومات القالب"
"Template Name","اسم القالب"
"Template not found","القالب غير موجود"
"Tenant","المستأجر"
"Tenant created successfully","تم إنشاء المستأجر بنجاح"
"Tenant Credit Balances","أرصدة المستأجرين"
"Tenant deleted successfully","تم حذف المستأجر بنجاح"
"Tenant Details","تفاصيل المستأجر"
"This tenant does not have an active subscription","هذا المستأجر ليس لديه اشتراك نشط"
"Tenant Information","معلومات المستأجر"
"Tenant Languages","لغات المستأجر"
"Tenant marked for deletion successfully","تم وضع علامة على المستأجر للحذف بنجاح"
"Tenant Name","اسم المستأجر"
"Tenant name has already been taken","اسم المستأجر مستخدم بالفعل"
"Tenant name is required.","اسم المستأجر مطلوب."
"Tenant name or email","اسم المستأجر أو email"
"Tenant not found","المستأجر غير موجود"
"Failed to restore tenant","فشل استعادة المستأجر"
"Tenant restored successfully","تم استعادة المستأجر بنجاح"
"Tenant Settings","إعدادات المستأجر"
"Tenant status updated","تم تحديث حالة المستأجر"
"Tenant status updated successfully","تم تحديث حالة المستأجر بنجاح"
"Tenant updated successfully","تم تحديث المستأجر بنجاح"
"Tenant Users","مستخدمو المستأجر"
"Tenant verified successfully","تم التحقق من المستأجر بنجاح"
"Tenant Viewed:","تم عرض المستأجر:"
"Tenants","المستأجرون"
"Terms and Conditions","الشروط والأحكام"
"Set up and manage your terms and conditions page that users can view","إعداد وإدارة صفحة الشروط والأحكام التي يمكن للمستخدمين عرضها"
"Terms of Service","شروط الخدمة"
"Test","اختبار"
"Test Connection","اختبار الاتصال"
"Test Mode","وضع الاختبار"
"Test Pusher","اختبار Pusher"
"Testimonial","شهادة"
"Testimonial not found","الشهادة غير موجودة"
"Testimonial settings","إعدادات الشهادات"
"Testimonials","الشهادات"
"Testimonials updated successfully","تم تحديث الشهادات بنجاح"
"Testing","الاختبار"
"Text to add before invoice number","النص المراد إضافته قبل رقم الفاتورة"
"the base currency.","العملة الأساسية."
"The Translation Cannot Be A JSON object Or Array","لا يمكن أن تكون الترجمة كائن JSON أو مصفوفة"
"Their billing cycle will restart and they&#039;ll regain access to all features immediately.","Their billing cycle will restart و they&#039;ll regain access to all features immediately."
"Theme","المظهر"
"Theme Manager","مدير المظاهر"
"Theme Settings","إعدادات المظهر"
"Customize your application by setting the favicon, site logo, dark logo, and cover page image to enhance branding and user experience.","خصص تطبيقك بتعيين أيقونة الموقع والشعار والشعار الداكن وصورة الغلاف لتحسين العلامة التجارية وتجربة المستخدم."
"Theme Style","نمط المظهر"
"Theme style saved and applied successfully!","Theme style saved و applied successfully!"
"Theme Style Settings","إعدادات نمط المظهر"
"These are the default permissions for API access","هذه هي الأذونات الافتراضية للوصول إلى API"
"These instructions will be shown to customers during checkout","ستُعرض هذه التعليمات للعملاء أثناء الدفع"
"This","هذا"
"This action cannot be undone.","لا يمكن التراجع عن هذا الإجراء."
"This information appears on your invoices","تظهر هذه المعلومات في فواتيرك"
" This logo will be removed after saving.","سيتم إزالة هذا الشعار بعد الحفظ."
"This Month","هذا الشهر"
"This text appears at the bottom of all invoices","يظهر هذا النص في أسفل جميع الفواتير"
"This ticket is closed and cannot be modified.","This ticket is closed و cannot be modified."
"This transaction is not an offline payment.","هذه المعاملة ليست دفعة غير متصلة."
"This transaction is not pending.","هذه المعاملة ليست معلقة."
"This URL must be publicly accessible for Stripe to send webhook events.","يجب أن يكون هذا الرابط متاحاً للعامة حتى يتمكن Stripe من إرسال أحداث webhook."
"This Week","هذا الأسبوع"
"This Year","هذا العام"
"Thousand Separator","فاصل الآلاف"
"Ticket #","تذكرة رقم"
"Ticket Closed","التذكرة مغلقة"
"Ticket closed by admin","أغلقت التذكرة من قبل المسؤول"
"Ticket closed by admin after reply","أغلقت التذكرة من قبل المسؤول بعد الرد"
"This ticket is closed. To add a reply, please reopen the ticket first.","هذه التذكرة مغلقة. لإضافة رد، يرجى إعادة فتح التذكرة أولاً."
"Ticket closed successfully!","تم إغلاق التذكرة بنجاح!"
"Ticket created successfully!","تم إنشاء التذكرة بنجاح!"
"Ticket deleted successfully","تم حذف التذكرة بنجاح"
"Ticket Departments","أقسام التذاكر"
"Ticket Details","تفاصيل التذكرة"
"Ticket ID:","معرّف التذكرة:"
"Ticket Information","معلومات التذكرة"
"This ticket is closed and no longer accepts replies or modifications. Contact your administrator if you need to reopen this ticket.","This ticket is closed و no longer accepts replies أو modifications. Contact your administrator if you need to reopen this ticket."
"Ticket not found or you don&#039;t have permission to view it.","Ticket not found أو you don&#039;t have permission to view it."
"Ticket reopened successfully!","تم إعادة فتح التذكرة بنجاح!"
"This ticket requires immediate attention!","هذه التذكرة تتطلب اهتماماً فورياً!"
"ticket(s)?","تذكرة (تذاكر)؟"
"ticket(s) selected","تذكرة (تذاكر) محددة"
"Ticket updated successfully!","تم تحديث التذكرة بنجاح!"
"Tickets","التذاكر"
"Tickets deleted successfully","تم حذف التذاكر بنجاح"
"Time Format","تنسيق الوقت"
"Timeline","الجدول الزمني"
"Timezone","المنطقة الزمنية"
"Title","العنوان"
"TLS","TLS"
"To","إلى"
" to update the version.","لتحديث الإصدار."
"Toggle between sandbox and live mode","Toggle between sandbox و الوضع المباشر"
"Toggle Switch","مفتاح التبديل"
"Token Abilities","قدرات الرمز"
"Top","أعلى"
"Top Departments","أفضل الأقسام"
"Total","الإجمالي"
"Total Campaigns","إجمالي الحملات"
"Total Clients","إجمالي العملاء"
"Total Credit Remaining","إجمالي الرصيد المتبقي"
"Total Credits","إجمالي الأرصدة"
"Total Days","إجمالي الأيام"
"Total Departments","إجمالي الأقسام"
"Total Earnings","إجمالي الأرباح"
"Total Invoices","إجمالي الفواتير"
"Total Keys:","إجمالي المفاتيح:"
"Total number of attachments cannot exceed 5 files.","لا يمكن أن يتجاوز إجمالي عدد المرفقات 5 ملفات."
"Total Savings","إجمالي الوفورات"
"Total Size:","الحجم الإجمالي:"
"Total Subscriptions","إجمالي الاشتراكات"
"Total Tickets:","إجمالي التذاكر:"
"Total Tickets","إجمالي التذاكر"
"Total Transactions","إجمالي المعاملات"
"Total Usage","إجمالي الاستخدام"
"Total Users","إجمالي المستخدمين"
"Total Uses","إجمالي الاستخدامات"
"Track message delivery, read receipts, and engagement metrics.","Track message delivery, read receipts, و engagement metrics."
"Transaction Details","تفاصيل المعاملة"
"Transaction History","سجل المعاملات"
"Transaction Id","معرّف المعاملة"
"Transaction Summary","ملخص المعاملة"
"Transactions","المعاملات"
"Translate","ترجمة"
"Translate Language","ترجمة اللغة"
"Translation keys found","تم العثور على مفاتيح الترجمة"
"Translation Management","إدارة الترجمة"
"Translation Statistics","إحصائيات الترجمة"
"Translation Stats","إحصائيات الترجمة"
"Translation updated successfully","تم تحديث الترجمة بنجاح"
"Translations:","الترجمات:"
"Trial","تجريبي"
"Trial Days","أيام التجربة"
"Number of days for free trial (0 for no trial)","عدد أيام الفترة التجريبية المجانية (0 بدون فترة تجريبية)"
"Trial Ends","تنتهي التجربة"
"Trial Ends At","تنتهي التجربة في"
"Try adjusting your search terms","حاول تعديل مصطلحات البحث"
"Type","النوع"
"Unavailable","غير متاح"
"Unique Feature","ميزة فريدة"
"Unique Feature Description","وصف الميزة الفريدة"
"Unique Feature Image","صورة الميزة الفريدة"
"Unique Feature List","قائمة الميزات الفريدة"
"Unique Feature settings","إعدادات الميزة الفريدة"
"Unique Feature Subtitle","العنوان الفرعي للميزة الفريدة"
"Unique Feature Title","عنوان الميزة الفريدة"
"Unique Tenants","المستأجرون الفريدون"
"Units","الوحدات"
"Unknown Tenant","مستأجر غير معروف"
"Unlimited","غير محدود"
"Unpaid","غير مدفوع"
"Unread Tickets","التذاكر غير المقروءة"
"Unsupported payment provider:","مزود دفع غير مدعوم:"
"Update Assigned","تحديث المعين"
"Updated Base Currency","العملة الأساسية المحدثة"
"Update","تحديث"
"Update Password","تحديث كلمة المرور"
"Update Plan","تحديث الخطة"
"Update priority if necessary","تحديث الأولوية إذا لزم الأمر"
"Update Tenant","تحديث المستأجر"
"Update Ticket","تحديث التذكرة"
"Update your Open Graph Settings","تحديث إعدادات Open Graph"
"Update your Partner Logo Settings","تحديث إعدادات شعار الشريك"
"Update your SEO Settings","تحديث إعدادات SEO"
" Updating module...","جاري تحديث الوحدة..."
" Updating system...","جاري تحديث النظام..."
"Accept UPI, cards, net banking and digital wallets","Accept UPI, cards, net banking و digital wallets"
"Upload failed","فشل الرفع"
"Upload failed. Please try again.","فشل الرفع. يرجى المحاولة مرة أخرى."
"Upload File","رفع ملف"
"Upload Files","رفع الملفات"
"Upload Language File","رفع ملف اللغة"
"Maximum file size: 2MB • File must be named:","الحد الأقصى لحجم الملف: 2 ميجابايت • يجب تسمية الملف:"
"Selected image preview","معاينة الصورة المحددة"
"Uploading","جاري الرفع"
"Urgent","عاجل"
"Urgent attention","انتباه عاجل"
"URL","URL"
"Usage","الاستخدام"
"Usage History","سجل الاستخدام"
"Use descriptive, understandable department names","استخدم أسماء أقسام وصفية ومفهومة"
"Use -1 for unlimited","استخدم -1 لغير محدود"
"Use this url in your gateway webhook settings","استخدم هذا الرابط في إعدادات webhook الخاصة ببوابتك"
"Use this URL in your Meta for Developers webhook configuration.","استخدم هذا الرابط في تكوين webhook لـ Meta for Developers."
"User","مستخدم"
"User activated successfully","تم تفعيل المستخدم بنجاح"
"User Deactivated","تم تعطيل المستخدم"
"User deactivated successfully","تم تعطيل المستخدم بنجاح"
"User deleted successfully","تم حذف المستخدم بنجاح"
"User not found","المستخدم غير موجود"
"User not verified","المستخدم غير محقق"
"User saved successfully","تم حفظ المستخدم بنجاح"
"User updated successfully","تم تحديث المستخدم بنجاح"
"Username","اسم المستخدم"
"Users","المستخدمون"
"List of users using this role","قائمة المستخدمين الذين يستخدمون هذا الدور"
"uses","uses"
"USSD Payments","مدفوعات USSD"
"Must use Re-Captcha v3 in credentials setup. Be careful, the wrong settings will make the login system interruption.","يجب استخدام Re-Captcha v3 في إعداد بيانات الاعتماد. كن حذراً، الإعدادات الخاطئة ستسبب انقطاعاً في نظام تسجيل الدخول."
"Make sure to enter valid currency ISO code.","تأكد من إدخال رمز عملة ISO صالح."
"Validation failed due to unexpected error","فشل التحقق بسبب خطأ غير متوقع"
"Value","القيمة"
"A new verification link has been sent to your email address.","تم إرسال رابط تحقق جديد إلى بريدك الإلكتروني."
"Verify Email","التحقق من البريد الإلكتروني"
"Thanks for signing up! Before getting started, could you verify your email address by clicking on the link we just emailed to you? If you didn&#039;t receive the email, we will gladly send you another.","شكراً للتسجيل! قبل البدء، هل يمكنك التحقق من عنوان بريدك الإلكتروني بالنقر على الرابط الذي أرسلناه لك للتو؟ إذا لم تستلم البريد الإلكتروني، سنرسل لك واحداً آخر بكل سرور."
"Verify Webhook Connection","التحقق من اتصال Webhook"
"Version","الإصدار"
"Version Information","معلومات الإصدار"
"View","عرض"
"View All Invoices","عرض جميع الفواتير"
"View all transactions","عرض جميع المعاملات"
"View Documentation","عرض الوثائق"
"View PDF","عرض PDF"
"View Template","عرض القالب"
"Clear compiled views to make views up to date.","مسح العروض المجمعة لتحديث العروض."
"View Tickets","عرض التذاكر"
"View WhatsApp Webhook Documentation","عرض وثائق Webhook لواتساب"
"Visible","مرئي"
"Visit Site","زيارة الموقع"
"vs previous","مقابل السابق"
"Warning","تحذير"
"We&#039;re not accepting new tenant registrations at the moment. Please check back later or contact support if you have questions.","We&#039;re not accepting new tenant registrations at the moment. Please check back later أو contact support if you have questions."
"We recommend generating a webhook secret to secure your payment events","نوصي بإنشاء رمز سري لـ webhook لتأمين أحداث الدفع"
"Whatsapp Webhook","Webhook لواتساب"
"Webhook","Webhook"
"Webhook configuration","تكوين Webhook"
"Use this URL in your Stripe dashboard to configure webhooks","استخدم هذا الرابط في لوحة تحكم Stripe لتكوين webhooks"
"Webhook configurations stored in your application database.","تكوينات Webhook المخزنة في قاعدة بيانات تطبيقك."
"Webhook connected successfully","تم ربط Webhook بنجاح"
"Webhook Connection","اتصال Webhook"
"Webhook created successfully.","تم إنشاء Webhook بنجاح."
"Webhook deleted successfully.","تم حذف Webhook بنجاح."
"Webhook Endpoint Url","رابط نقطة نهاية Webhook"
"Webhook Endpoint URL","رابط نقطة نهاية Webhook"
"Webhook Events","أحداث Webhook"
"Webhook Id","معرّف Webhook"
"Webhook ID:","معرّف Webhook:"
"Webhook ID updated successfully.","تم تحديث معرّف Webhook بنجاح."
"Webhook Resend Method","طريقة إعادة إرسال Webhook"
"Webhook Secret","سر Webhook"
"Your Stripe webhook signing secret (starts with whsec_)","الرمز السري لتوقيع webhook لـ Stripe (يبدأ بـ whsec_)"
"Webhook secret for verification","الرمز السري للتحقق من Webhook"
"Webhook secret is configured","تم تكوين الرمز السري لـ Webhook"
"Webhook secret is stored securely and not displayed for security reasons","Webhook secret is stored securely و not displayed for security reasons"
"Webhook secret not configured","لم يتم تكوين الرمز السري لـ Webhook"
"Webhook secret updated successfully.","تم تحديث الرمز السري لـ Webhook بنجاح."
"Webhook Settings","إعدادات Webhook"
"Webhook Setup Instructions","تعليمات إعداد Webhook"
"Webhook updated successfully.","تم تحديث Webhook بنجاح."
"Webhook URL","رابط Webhook"
"Webhook URL copied to clipboard","تم نسخ رابط Webhook إلى الحافظة"
"Webhook verified","تم التحقق من Webhook"
"Webhooks","Webhooks"
"Webhooks configured successfully.","تم تكوين Webhooks بنجاح."
"Website","الموقع الإلكتروني"
"Website SEO &amp; OG","SEO و OG للموقع"
"Website SEO &amp; Open Graph","SEO و Open Graph للموقع"
"Website SEO settings","إعدادات SEO للموقع"
"Website Settings","إعدادات الموقع"
"Welcome Back","مرحباً بعودتك"
"Welcome to your admin dashboard","مرحباً بك في لوحة الإدارة"
"Whatsapp Auto Lead","عميل محتمل تلقائي لواتساب"
"Whatsapp Webhook","Webhook لواتساب"
"WhatsApp Webhook Configuration","تكوين Webhook لواتساب"
"WhatsApp webhook disconnected successfully.","تم قطع اتصال webhook لواتساب بنجاح."
"Whatsmark Ping Received","تم استلام Ping من Whatsmark"
"When enabled, bank details will appear on invoice documents.","عند التفعيل، ستظهر تفاصيل البنك في مستندات الفاتورة."
"Will be deleted","سيتم حذفه"
"This logo will be displayed on your site.","سيتم عرض هذا الشعار على موقعك."
"With Layout","مع التخطيط"
"With Tickets","مع التذاكر"
"Without Tickets","بدون تذاكر"
"Worker Active","العامل نشط"
"Worker Inactive","العامل غير نشط"
"Workers","العمال"
"Yearly","سنوي"
"Yes, Approve","نعم، الموافقة"
"Yes, Reject","نعم، الرفض"
"You&#039;re about to pause subscription for tenant","أنت على وشك إيقاف الاشتراك مؤقتاً للمستأجر"
"You can attach files to provide additional context or evidence for the ticket.","You can attach files to provide additional context أو evidence for the ticket."
"You cannot delete this reply. Replies can only be deleted by admins within","لا يمكنك حذف هذا الرد. يمكن للمسؤولين فقط حذف الردود خلال"
"You can&#039;t delete this tenant because it&#039;s connected to subscriptions","لا يمكنك حذف هذا المستأجر لأنه متصل باشتراكات"
"You have selected the plan:","لقد اخترت الخطة:"
"Your Company Name","اسم شركتك"
"Your Version","إصدارك"
"You&#039;re about to resume subscription for tenant","أنت على وشك استئناف الاشتراك للمستأجر"
"yr","yr"
